ID,Torvdybde,X,Y,F5,Name,time,ele
,2.830000,555422.464264,7030887.748267,,"76",2022-05-25,75.20
,2.380000,555455.773264,7030923.318792,,"77",2022-05-25,75.90
,2.320000,555491.580829,7030958.821560,,"78",2022-05-25,75.30
,1.800000,555529.135741,7030994.355066,,"79",2022-05-25,71.90
,3.660000,555551.434851,7031030.850065,,"80",2022-05-25,72.20
,4.230000,555583.434091,7031055.366250,,"81",2022-05-25,70.40
,4.200000,555596.786835,7031086.245433,,"82",2022-05-25,70.60
,4.250000,555634.110354,7031109.071539,,"83",2022-05-25,65.50
,5.550000,555669.319260,7031138.547978,,"84",2022-05-25,70.00
,5.590000,555713.608668,7031162.945004,,"85",2022-05-25,69.50
,3.790000,555780.649150,7031186.178934,,"86",2022-05-25,66.40
,4.820000,555822.505231,7031172.421006,,"87",2022-05-25,67.20
,4.530000,555865.649538,7031199.363426,,"88",2022-05-25,66.60
,4.620000,555847.138531,7031249.524765,,"89",2022-05-25,67.00
,5.610000,555798.114300,7031264.717577,,"90",2022-05-25,65.60
,6.130000,555728.006215,7031251.348387,,"91",2022-05-25,65.70
,7.050000,555647.767699,7031231.563664,,"92",2022-05-25,64.20
,5.280000,555571.208975,7031255.865452,,"93",2022-05-25,63.00
,5.830000,555524.023067,7031196.872347,,"94",2022-05-25,61.40
