Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Skjetlein;SN67140;25.11.2020;-;4,4;2,7;0,5;-
Skjetlein;SN67140;26.11.2020;-;3,3;1,2;6;-
Skjetlein;SN67140;27.11.2020;-;2,2;-1,1;0,3;-
Skjetlein;SN67140;28.11.2020;-;-1,1;-4,3;0;-
Skjetlein;SN67140;29.11.2020;-;-1,3;-4,2;0;-
Skjetlein;SN67140;30.11.2020;-;1,4;-4;0;-
Skjetlein;SN67140;01.12.2020;-;1,3;-0,5;4;-
Skjetlein;SN67140;17.03.2021;-;4,1;-5,3;-;-
Skjetlein;SN67140;18.03.2021;-;5,5;0,7;-;-
Skjetlein;SN67140;19.03.2021;-;5,9;-;-;-
Skjetlein;SN67140;30.01.2022;-;3,2;-1,5;-;-
Skjetlein;SN67140;05.02.2022;-;2,9;-1,1;-;-
Skjetlein;SN67140;06.02.2022;-;1,8;-2,2;-;-
Skjetlein;SN67140;07.02.2022;-;3;-1,5;-;-
Skjetlein;SN67140;08.02.2022;-;4;0,9;-;-
Skjetlein;SN67140;09.02.2022;-;2,3;0,7;-;-
Skjetlein;SN67140;10.02.2022;-;1,3;-1,2;-;-
Skjetlein;SN67140;11.02.2022;-;0,8;-2,6;-;-
Skjetlein;SN67140;12.02.2022;-;1,7;-0,9;-;-
Skjetlein;SN67140;13.02.2022;-;3,8;-0,3;-;-
Skjetlein;SN67140;14.02.2022;-;1,2;-2,3;-;-
Skjetlein;SN67140;15.02.2022;-;-1,1;-2,8;-;-
Skjetlein;SN67140;16.02.2022;-;2,3;-6,6;-;-
Skjetlein;SN67140;17.02.2022;-;0,4;-9,2;-;-
Skjetlein;SN67140;18.02.2022;-;1,3;-2,5;-;-
Skjetlein;SN67140;19.02.2022;-;2,5;-7,8;-;-
Skjetlein;SN67140;20.02.2022;-;0,1;-5,9;-;-
Skjetlein;SN67140;21.02.2022;-;0,9;-5,4;-;-
Skjetlein;SN67140;22.02.2022;-;-0,7;-8,6;-;-
Skjetlein;SN67140;23.02.2022;-;4,5;-2,7;-;-
Skjetlein;SN67140;24.02.2022;-;2,3;-5,4;-;-
Skjetlein;SN67140;25.02.2022;-;2,3;-3,9;-;-
Skjetlein;SN67140;26.02.2022;-;5,7;-7,2;-;-
Skjetlein;SN67140;27.02.2022;-;5,8;-2;-;-
Skjetlein;SN67140;28.02.2022;-;6,1;-4,1;-;-
Skjetlein;SN67140;01.03.2022;-;6,1;2,8;-;-
Skjetlein;SN67140;02.03.2022;-;5;1,1;-;-
Skjetlein;SN67140;03.03.2022;-;4,1;-3,7;-;-
Skjetlein;SN67140;04.03.2022;-;3,7;-6,6;-;-
Skjetlein;SN67140;05.03.2022;-;4;-8,9;-;-
Skjetlein;SN67140;06.03.2022;-;3,8;-1,9;-;-
Skjetlein;SN67140;07.03.2022;-;4,5;1,3;-;-
Skjetlein;SN67140;08.03.2022;-;4,3;-2,1;-;-
Skjetlein;SN67140;09.03.2022;-;-1,3;-6;-;-
Skjetlein;SN67140;10.03.2022;-;7,3;-3;-;-
Skjetlein;SN67140;11.03.2022;-;8,8;1;-;-
Skjetlein;SN67140;12.03.2022;-;10,4;0,3;-;-
Skjetlein;SN67140;13.03.2022;-;9,5;1,2;-;-
Skjetlein;SN67140;14.03.2022;-;10,3;-0,1;-;-
Skjetlein;SN67140;15.03.2022;-;8;-1,7;-;-
Skjetlein;SN67140;16.03.2022;-;9;-2,7;-;-
Skjetlein;SN67140;17.03.2022;-;8,2;3,2;-;-
Skjetlein;SN67140;18.03.2022;-;7,2;1,8;-;-
Skjetlein;SN67140;19.03.2022;-;12,7;2,8;-;-
Skjetlein;SN67140;20.03.2022;-;9,7;-0,5;-;-
Skjetlein;SN67140;21.03.2022;-;6,7;-2,2;-;-
Skjetlein;SN67140;22.03.2022;-;6,9;-3,4;-;-
Skjetlein;SN67140;23.03.2022;-;10,3;-1,5;-;-
Skjetlein;SN67140;24.03.2022;-;7,6;4,3;-;-
Skjetlein;SN67140;25.03.2022;-;8;3,2;-;-
Skjetlein;SN67140;26.03.2022;-;4,9;1,4;-;-
Skjetlein;SN67140;27.03.2022;-;8,2;-0,2;-;-
Skjetlein;SN67140;28.03.2022;-;8,2;1,2;-;-
Skjetlein;SN67140;29.03.2022;-;1,3;-4,1;-;-
Skjetlein;SN67140;30.03.2022;-;2,7;-4,6;-;-
Skjetlein;SN67140;31.03.2022;-;2,6;-2,9;-;-
Skjetlein;SN67140;01.04.2022;-;2,8;-4,7;-;-
Skjetlein;SN67140;02.04.2022;-;3,1;-3,8;-;-
Skjetlein;SN67140;03.04.2022;-;2,3;0,2;-;-
Skjetlein;SN67140;04.04.2022;-;1,8;-1,9;-;-
Skjetlein;SN67140;05.04.2022;-;2,1;-8;-;-
Skjetlein;SN67140;07.04.2022;-;1,5;0,8;-;-
Skjetlein;SN67140;08.04.2022;-;2,2;-6,3;-;-
Skjetlein;SN67140;09.04.2022;-;4,5;1,1;-;-
Skjetlein;SN67140;10.04.2022;-;4,5;0,5;-;-
Skjetlein;SN67140;11.04.2022;-;4;1,8;-;-
Skjetlein;SN67140;12.04.2022;-;7,6;0,4;-;-
Skjetlein;SN67140;13.04.2022;-;8;0,5;-;-
Skjetlein;SN67140;14.04.2022;-;7,8;-0,8;-;-
Skjetlein;SN67140;18.04.2022;-;15,3;1,4;-;-
Skjetlein;SN67140;19.04.2022;-;15,1;0,7;-;-
Skjetlein;SN67140;20.04.2022;-;15,1;1,6;-;-
Skjetlein;SN67140;21.04.2022;-;15,1;1,9;-;-
Skjetlein;SN67140;22.04.2022;-;11,9;0,3;-;-
Skjetlein;SN67140;23.04.2022;-;14,2;0,7;-;-
Skjetlein;SN67140;24.04.2022;-;13,8;1,8;-;-
Skjetlein;SN67140;25.04.2022;-;10,7;2,5;-;-
Skjetlein;SN67140;26.04.2022;-;6,3;1,1;-;-
Skjetlein;SN67140;28.04.2022;-;5,9;2,8;-;-
Skjetlein;SN67140;29.04.2022;-;6;0,9;-;-
Skjetlein;SN67140;01.05.2022;-;10,2;-;-;-
Skjetlein;SN67140;02.05.2022;-;7,5;4,2;-;-
Skjetlein;SN67140;03.05.2022;-;5,2;0,8;-;-
Skjetlein;SN67140;04.05.2022;-;7,1;0,1;-;-
Skjetlein;SN67140;05.05.2022;-;9,1;2,5;-;-
Skjetlein;SN67140;06.05.2022;-;17,1;3,9;-;-
Skjetlein;SN67140;07.05.2022;-;9,6;-;-;-
Skjetlein;SN67140;08.05.2022;-;9,5;-;-;-
Skjetlein;SN67140;09.05.2022;-;14,4;2,8;-;-
Skjetlein;SN67140;10.05.2022;-;14,4;7,9;-;-
Skjetlein;SN67140;11.05.2022;-;14,6;5;-;-
Skjetlein;SN67140;12.05.2022;-;12;6,3;-;-
Skjetlein;SN67140;14.05.2022;-;8,4;-;-;-
Skjetlein;SN67140;15.05.2022;-;9,5;-;-;-
Skjetlein;SN67140;21.05.2022;-;16,9;9,2;0;-
Skjetlein;SN67140;22.05.2022;-;16,3;8,5;1,5;-
Skjetlein;SN67140;23.05.2022;-;20,3;7;0;-
Skjetlein;SN67140;24.05.2022;-;17,6;12,2;0;-
Skjetlein;SN67140;25.05.2022;-;18,8;11,4;0,3;-
Skjetlein;SN67140;04.06.2022;-;12,2;8,5;0,4;-
Skjetlein;SN67140;05.06.2022;-;14;7,6;1,5;-
Skjetlein;SN67140;06.06.2022;-;17,8;3;0;-
Skjetlein;SN67140;07.06.2022;-;16,6;5,7;0;-
Skjetlein;SN67140;08.06.2022;-;17,5;10;0;-
Skjetlein;SN67140;09.06.2022;-;18,3;10;0,5;-
Skjetlein;SN67140;10.06.2022;-;20,4;8,3;0;-
Skjetlein;SN67140;11.06.2022;-;18,3;9,5;7,4;-
Skjetlein;SN67140;12.06.2022;-;20;8,7;3;-
Skjetlein;SN67140;13.06.2022;-;13,8;9;10,7;-
Skjetlein;SN67140;14.06.2022;-;14;9;5,2;-
Skjetlein;SN67140;15.06.2022;-;13,4;10;5,7;-
Skjetlein;SN67140;13.01.2023;-;3,3;-5,6;-;-
Skjetlein;SN67140;02.04.2023;-;5,9;-9,7;-;-
Skjetlein;SN67140;03.04.2023;-;9,3;-;-;-
Skjetlein;SN67140;31.07.2023;-;18,8;12,3;0;-
Skjetlein;SN67140;28.06.2018;-;-;-;0;-
Skjetlein;SN67140;04.08.2018;-;-;-;8,4;-
Skjetlein;SN67140;25.08.2018;-;-;-;2,4;-
Leinstrand;SN67150;01.01.2017;-;-;-;9,4;-
Leinstrand;SN67150;02.01.2017;-;-;-;5,7;-
Leinstrand;SN67150;03.01.2017;-;-;-;5,1;-
Leinstrand;SN67150;04.01.2017;-;-;-;10;-
Leinstrand;SN67150;05.01.2017;-;-;-;0,4;-
Leinstrand;SN67150;06.01.2017;-;-;-;0;-
Leinstrand;SN67150;07.01.2017;-;-;-;6,1;15
Leinstrand;SN67150;08.01.2017;-;-;-;0,8;14
Leinstrand;SN67150;09.01.2017;-;-;-;3;-
Leinstrand;SN67150;10.01.2017;-;-;-;0,6;-
Leinstrand;SN67150;11.01.2017;-;-;-;0;-
Leinstrand;SN67150;12.01.2017;-;-;-;3,8;2
Leinstrand;SN67150;13.01.2017;-;-;-;0;2
Leinstrand;SN67150;14.01.2017;-;-;-;13,9;12
Leinstrand;SN67150;15.01.2017;-;-;-;1,1;12
Leinstrand;SN67150;16.01.2017;-;-;-;2,6;15
Leinstrand;SN67150;17.01.2017;-;-;-;2,5;-
Leinstrand;SN67150;18.01.2017;-;-;-;2,6;-
Leinstrand;SN67150;19.01.2017;-;-;-;2,4;-
Leinstrand;SN67150;20.01.2017;-;-;-;12;-
Leinstrand;SN67150;21.01.2017;-;-;-;9,4;0
Leinstrand;SN67150;22.01.2017;-;-;-;0,1;0
Leinstrand;SN67150;23.01.2017;-;-;-;1,1;0
Leinstrand;SN67150;24.01.2017;-;-;-;1;0
Leinstrand;SN67150;25.01.2017;-;-;-;0;0
Leinstrand;SN67150;26.01.2017;-;-;-;0,3;0
Leinstrand;SN67150;27.01.2017;-;-;-;0;0
Leinstrand;SN67150;28.01.2017;-;-;-;0;0
Leinstrand;SN67150;29.01.2017;-;-;-;0;0
Leinstrand;SN67150;30.01.2017;-;-;-;9,5;0
Leinstrand;SN67150;31.01.2017;-;-;-;0;0
Leinstrand;SN67150;01.02.2017;-;-;-;0;0
Leinstrand;SN67150;02.02.2017;-;-;-;0,1;0
Leinstrand;SN67150;03.02.2017;-;-;-;0;0
Leinstrand;SN67150;04.02.2017;-;-;-;0;0
Leinstrand;SN67150;05.02.2017;-;-;-;0;0
Leinstrand;SN67150;06.02.2017;-;-;-;0;0
Leinstrand;SN67150;07.02.2017;-;-;-;0;0
Leinstrand;SN67150;08.02.2017;-;-;-;0;0
Leinstrand;SN67150;09.02.2017;-;-;-;0;0
Leinstrand;SN67150;10.02.2017;-;-;-;0;0
Leinstrand;SN67150;11.02.2017;-;-;-;0;0
Leinstrand;SN67150;12.02.2017;-;-;-;0;0
Leinstrand;SN67150;13.02.2017;-;-;-;0;0
Leinstrand;SN67150;14.02.2017;-;-;-;0;0
Leinstrand;SN67150;15.02.2017;-;-;-;0;0
Leinstrand;SN67150;16.02.2017;-;-;-;0,6;0
Leinstrand;SN67150;17.02.2017;-;-;-;4,5;0
Leinstrand;SN67150;18.02.2017;-;-;-;1,8;0
Leinstrand;SN67150;19.02.2017;-;-;-;0,4;0
Leinstrand;SN67150;20.02.2017;-;-;-;15,2;4
Leinstrand;SN67150;21.02.2017;-;-;-;0,1;2
Leinstrand;SN67150;22.02.2017;-;-;-;0,5;2
Leinstrand;SN67150;23.02.2017;-;-;-;4;2
Leinstrand;SN67150;24.02.2017;-;-;-;10,4;20
Leinstrand;SN67150;25.02.2017;-;-;-;6,2;24
Leinstrand;SN67150;26.02.2017;-;-;-;3,9;20
Leinstrand;SN67150;27.02.2017;-;-;-;3,7;20
Leinstrand;SN67150;28.02.2017;-;-;-;0;18
Leinstrand;SN67150;01.03.2017;-;-;-;0;15
Leinstrand;SN67150;02.03.2017;-;-;-;0;14
Leinstrand;SN67150;03.03.2017;-;-;-;0;13
Leinstrand;SN67150;04.03.2017;-;-;-;0;13
Leinstrand;SN67150;05.03.2017;-;-;-;0;13
Leinstrand;SN67150;06.03.2017;-;-;-;0;12
Leinstrand;SN67150;07.03.2017;-;-;-;0;12
Leinstrand;SN67150;08.03.2017;-;-;-;0;12
Leinstrand;SN67150;09.03.2017;-;-;-;0;12
Leinstrand;SN67150;10.03.2017;-;-;-;0;12
Leinstrand;SN67150;11.03.2017;-;-;-;0;12
Leinstrand;SN67150;12.03.2017;-;-;-;0,3;11
Leinstrand;SN67150;13.03.2017;-;-;-;2;9
Leinstrand;SN67150;14.03.2017;-;-;-;2;6
Leinstrand;SN67150;15.03.2017;-;-;-;5;0
Leinstrand;SN67150;16.03.2017;-;-;-;3,2;0
Leinstrand;SN67150;17.03.2017;-;-;-;0,8;0
Leinstrand;SN67150;18.03.2017;-;-;-;13,5;2
Leinstrand;SN67150;19.03.2017;-;-;-;1,2;3
Leinstrand;SN67150;20.03.2017;-;-;-;0;2
Leinstrand;SN67150;21.03.2017;-;-;-;0;0
Leinstrand;SN67150;22.03.2017;-;-;-;2,5;0
Leinstrand;SN67150;23.03.2017;-;-;-;6,5;7
Leinstrand;SN67150;24.03.2017;-;-;-;1;5
Leinstrand;SN67150;25.03.2017;-;-;-;6,4;0
Leinstrand;SN67150;26.03.2017;-;-;-;1,6;0
Leinstrand;SN67150;27.03.2017;-;-;-;2,6;0
Leinstrand;SN67150;28.03.2017;-;-;-;5;0
Leinstrand;SN67150;29.03.2017;-;-;-;0,5;0
Leinstrand;SN67150;30.03.2017;-;-;-;0;0
Leinstrand;SN67150;31.03.2017;-;-;-;0,1;0
Leinstrand;SN67150;01.04.2017;-;-;-;2;0
Leinstrand;SN67150;02.04.2017;-;-;-;4,4;0
Leinstrand;SN67150;03.04.2017;-;-;-;0,6;0
Leinstrand;SN67150;04.04.2017;-;-;-;0;0
Leinstrand;SN67150;05.04.2017;-;-;-;3;0
Leinstrand;SN67150;06.04.2017;-;-;-;3,6;0
Leinstrand;SN67150;07.04.2017;-;-;-;7,5;0
Leinstrand;SN67150;08.04.2017;-;-;-;4,4;1
Leinstrand;SN67150;09.04.2017;-;-;-;0,5;0
Leinstrand;SN67150;10.04.2017;-;-;-;3,4;0
Leinstrand;SN67150;11.04.2017;-;-;-;13,2;1
Leinstrand;SN67150;12.04.2017;-;-;-;3,1;0
Leinstrand;SN67150;13.04.2017;-;-;-;0;0
Leinstrand;SN67150;14.04.2017;-;-;-;0;0
Leinstrand;SN67150;15.04.2017;-;-;-;0;0
Leinstrand;SN67150;16.04.2017;-;-;-;0;0
Leinstrand;SN67150;17.04.2017;-;-;-;0;0
Leinstrand;SN67150;18.04.2017;-;-;-;0;0
Leinstrand;SN67150;19.04.2017;-;-;-;0;0
Leinstrand;SN67150;20.04.2017;-;-;-;4,5;0
Leinstrand;SN67150;21.04.2017;-;-;-;11;0
Leinstrand;SN67150;22.04.2017;-;-;-;13,6;1
Leinstrand;SN67150;23.04.2017;-;-;-;10,6;4
Leinstrand;SN67150;24.04.2017;-;-;-;3,5;2
Leinstrand;SN67150;25.04.2017;-;-;-;0;0
Leinstrand;SN67150;26.04.2017;-;-;-;1;1
Leinstrand;SN67150;27.04.2017;-;-;-;6;0
Leinstrand;SN67150;28.04.2017;-;-;-;2,5;0
Leinstrand;SN67150;29.04.2017;-;-;-;0;0
Leinstrand;SN67150;30.04.2017;-;-;-;0;0
Leinstrand;SN67150;01.05.2017;-;-;-;0,1;0
Leinstrand;SN67150;02.05.2017;-;-;-;0;0
Leinstrand;SN67150;03.05.2017;-;-;-;0;0
Leinstrand;SN67150;04.05.2017;-;-;-;0;0
Leinstrand;SN67150;05.05.2017;-;-;-;0;0
Leinstrand;SN67150;06.05.2017;-;-;-;0;0
Leinstrand;SN67150;07.05.2017;-;-;-;0;0
Leinstrand;SN67150;08.05.2017;-;-;-;0;0
Leinstrand;SN67150;09.05.2017;-;-;-;3;0
Leinstrand;SN67150;10.05.2017;-;-;-;1,4;0
Leinstrand;SN67150;11.05.2017;-;-;-;0;0
Leinstrand;SN67150;12.05.2017;-;-;-;0;0
Leinstrand;SN67150;13.05.2017;-;-;-;0;0
Leinstrand;SN67150;14.05.2017;-;-;-;0;0
Leinstrand;SN67150;15.05.2017;-;-;-;0;0
Leinstrand;SN67150;16.05.2017;-;-;-;0;0
Leinstrand;SN67150;17.05.2017;-;-;-;2,5;-
Leinstrand;SN67150;18.05.2017;-;-;-;0,5;0
Leinstrand;SN67150;19.05.2017;-;-;-;2,2;0
Leinstrand;SN67150;20.05.2017;-;-;-;0,2;0
Leinstrand;SN67150;21.05.2017;-;-;-;0;0
Leinstrand;SN67150;22.05.2017;-;-;-;13;0
Leinstrand;SN67150;23.05.2017;-;-;-;11,5;0
Leinstrand;SN67150;24.05.2017;-;-;-;0;0
Leinstrand;SN67150;25.05.2017;-;-;-;7,4;0
Leinstrand;SN67150;26.05.2017;-;-;-;11,2;0
Leinstrand;SN67150;27.05.2017;-;-;-;8,6;0
Leinstrand;SN67150;28.05.2017;-;-;-;0,4;0
Leinstrand;SN67150;29.05.2017;-;-;-;2,2;0
Leinstrand;SN67150;30.05.2017;-;-;-;0;0
Leinstrand;SN67150;31.05.2017;-;-;-;0;0
Leinstrand;SN67150;01.06.2017;-;-;-;9,5;0
Leinstrand;SN67150;02.06.2017;-;-;-;8;0
Leinstrand;SN67150;03.06.2017;-;-;-;0,1;0
Leinstrand;SN67150;04.06.2017;-;-;-;0,3;0
Leinstrand;SN67150;05.06.2017;-;-;-;4,5;0
Leinstrand;SN67150;06.06.2017;-;-;-;0;0
Leinstrand;SN67150;07.06.2017;-;-;-;0;0
Leinstrand;SN67150;08.06.2017;-;-;-;0;0
Leinstrand;SN67150;09.06.2017;-;-;-;0;0
Leinstrand;SN67150;10.06.2017;-;-;-;0;0
Leinstrand;SN67150;11.06.2017;-;-;-;11,8;0
Leinstrand;SN67150;12.06.2017;-;-;-;3,1;0
Leinstrand;SN67150;13.06.2017;-;-;-;7;0
Leinstrand;SN67150;14.06.2017;-;-;-;0,5;0
Leinstrand;SN67150;15.06.2017;-;-;-;0,8;0
Leinstrand;SN67150;16.06.2017;-;-;-;0;0
Leinstrand;SN67150;17.06.2017;-;-;-;7,9;0
Leinstrand;SN67150;18.06.2017;-;-;-;12;0
Leinstrand;SN67150;19.06.2017;-;-;-;14,6;0
Leinstrand;SN67150;20.06.2017;-;-;-;9,5;0
Leinstrand;SN67150;21.06.2017;-;-;-;5,5;0
Leinstrand;SN67150;22.06.2017;-;-;-;2,5;0
Leinstrand;SN67150;23.06.2017;-;-;-;0,1;0
Leinstrand;SN67150;24.06.2017;-;-;-;12;0
Leinstrand;SN67150;25.06.2017;-;-;-;0,2;0
Leinstrand;SN67150;26.06.2017;-;-;-;6,7;0
Leinstrand;SN67150;27.06.2017;-;-;-;9,7;0
Leinstrand;SN67150;28.06.2017;-;-;-;1;0
Leinstrand;SN67150;29.06.2017;-;-;-;0;0
Leinstrand;SN67150;30.06.2017;-;-;-;0;0
Leinstrand;SN67150;01.07.2017;-;-;-;0;0
Leinstrand;SN67150;02.07.2017;-;-;-;10,4;0
Leinstrand;SN67150;03.07.2017;-;-;-;0,8;0
Leinstrand;SN67150;04.07.2017;-;-;-;1,2;0
Leinstrand;SN67150;05.07.2017;-;-;-;3,5;0
Leinstrand;SN67150;06.07.2017;-;-;-;0,1;0
Leinstrand;SN67150;07.07.2017;-;-;-;0;0
Leinstrand;SN67150;08.07.2017;-;-;-;0,1;0
Leinstrand;SN67150;09.07.2017;-;-;-;11,5;0
Leinstrand;SN67150;10.07.2017;-;-;-;0,9;0
Leinstrand;SN67150;11.07.2017;-;-;-;2,1;0
Leinstrand;SN67150;12.07.2017;-;-;-;10,3;0
Leinstrand;SN67150;13.07.2017;-;-;-;6,3;0
Leinstrand;SN67150;14.07.2017;-;-;-;4,5;0
Leinstrand;SN67150;15.07.2017;-;-;-;1,2;0
Leinstrand;SN67150;16.07.2017;-;-;-;3,6;0
Leinstrand;SN67150;17.07.2017;-;-;-;5;0
Leinstrand;SN67150;18.07.2017;-;-;-;1,8;0
Leinstrand;SN67150;19.07.2017;-;-;-;2,5;0
Leinstrand;SN67150;20.07.2017;-;-;-;0,1;0
Leinstrand;SN67150;21.07.2017;-;-;-;0;0
Leinstrand;SN67150;22.07.2017;-;-;-;0;0
Leinstrand;SN67150;23.07.2017;-;-;-;0;0
Leinstrand;SN67150;24.07.2017;-;-;-;0;0
Leinstrand;SN67150;25.07.2017;-;-;-;0;0
Leinstrand;SN67150;26.07.2017;-;-;-;2,5;0
Leinstrand;SN67150;27.07.2017;-;-;-;0;0
Leinstrand;SN67150;28.07.2017;-;-;-;0;0
Leinstrand;SN67150;29.07.2017;-;-;-;0;0
Leinstrand;SN67150;30.07.2017;-;-;-;0;0
Leinstrand;SN67150;31.07.2017;-;-;-;0;0
Leinstrand;SN67150;01.08.2017;-;-;-;7,2;0
Leinstrand;SN67150;02.08.2017;-;-;-;3,5;0
Leinstrand;SN67150;03.08.2017;-;-;-;3,5;0
Leinstrand;SN67150;04.08.2017;-;-;-;0;0
Leinstrand;SN67150;05.08.2017;-;-;-;0;0
Leinstrand;SN67150;06.08.2017;-;-;-;0;0
Leinstrand;SN67150;07.08.2017;-;-;-;10,3;0
Leinstrand;SN67150;08.08.2017;-;-;-;5,8;0
Leinstrand;SN67150;09.08.2017;-;-;-;0,8;0
Leinstrand;SN67150;10.08.2017;-;-;-;3,5;0
Leinstrand;SN67150;11.08.2017;-;-;-;0,4;0
Leinstrand;SN67150;12.08.2017;-;-;-;0,9;0
Leinstrand;SN67150;13.08.2017;-;-;-;8,6;0
Leinstrand;SN67150;14.08.2017;-;-;-;0,3;0
Leinstrand;SN67150;15.08.2017;-;-;-;0,3;0
Leinstrand;SN67150;16.08.2017;-;-;-;4;0
Leinstrand;SN67150;17.08.2017;-;-;-;16,8;0
Leinstrand;SN67150;18.08.2017;-;-;-;0;0
Leinstrand;SN67150;19.08.2017;-;-;-;0;0
Leinstrand;SN67150;20.08.2017;-;-;-;24,5;0
Leinstrand;SN67150;21.08.2017;-;-;-;19,3;0
Leinstrand;SN67150;22.08.2017;-;-;-;0,2;0
Leinstrand;SN67150;23.08.2017;-;-;-;0,8;0
Leinstrand;SN67150;24.08.2017;-;-;-;2;0
Leinstrand;SN67150;25.08.2017;-;-;-;0;0
Leinstrand;SN67150;26.08.2017;-;-;-;0,7;0
Leinstrand;SN67150;27.08.2017;-;-;-;0,5;0
Leinstrand;SN67150;28.08.2017;-;-;-;0;0
Leinstrand;SN67150;29.08.2017;-;-;-;5;0
Leinstrand;SN67150;30.08.2017;-;-;-;11,5;0
Leinstrand;SN67150;31.08.2017;-;-;-;0;0
Leinstrand;SN67150;01.09.2017;-;-;-;0,5;0
Leinstrand;SN67150;02.09.2017;-;-;-;0,2;0
Leinstrand;SN67150;03.09.2017;-;-;-;0;0
Leinstrand;SN67150;04.09.2017;-;-;-;0;0
Leinstrand;SN67150;05.09.2017;-;-;-;0;0
Leinstrand;SN67150;06.09.2017;-;-;-;2;0
Leinstrand;SN67150;07.09.2017;-;-;-;0;0
Leinstrand;SN67150;08.09.2017;-;-;-;0;0
Leinstrand;SN67150;09.09.2017;-;-;-;0;0
Leinstrand;SN67150;10.09.2017;-;-;-;0;0
Leinstrand;SN67150;11.09.2017;-;-;-;0;0
Leinstrand;SN67150;12.09.2017;-;-;-;0;0
Leinstrand;SN67150;13.09.2017;-;-;-;9,5;0
Leinstrand;SN67150;14.09.2017;-;-;-;3,7;0
Leinstrand;SN67150;15.09.2017;-;-;-;0,1;0
Leinstrand;SN67150;16.09.2017;-;-;-;1,2;0
Leinstrand;SN67150;17.09.2017;-;-;-;0,6;0
Leinstrand;SN67150;18.09.2017;-;-;-;3,5;0
Leinstrand;SN67150;19.09.2017;-;-;-;0,8;0
Leinstrand;SN67150;20.09.2017;-;-;-;0;0
Leinstrand;SN67150;21.09.2017;-;-;-;0;0
Leinstrand;SN67150;22.09.2017;-;-;-;0;0
Leinstrand;SN67150;23.09.2017;-;-;-;0;0
Leinstrand;SN67150;24.09.2017;-;-;-;0;0
Leinstrand;SN67150;25.09.2017;-;-;-;0;0
Leinstrand;SN67150;26.09.2017;-;-;-;0;0
Leinstrand;SN67150;27.09.2017;-;-;-;0;0
Leinstrand;SN67150;28.09.2017;-;-;-;0;0
Leinstrand;SN67150;29.09.2017;-;-;-;0;0
Leinstrand;SN67150;30.09.2017;-;-;-;0;0
Leinstrand;SN67150;01.10.2017;-;-;-;0;0
Leinstrand;SN67150;02.10.2017;-;-;-;1,5;0
Leinstrand;SN67150;03.10.2017;-;-;-;0;0
Leinstrand;SN67150;04.10.2017;-;-;-;3;0
Leinstrand;SN67150;05.10.2017;-;-;-;1,5;0
Leinstrand;SN67150;06.10.2017;-;-;-;8;0
Leinstrand;SN67150;07.10.2017;-;-;-;17,2;0
Leinstrand;SN67150;08.10.2017;-;-;-;8,6;0
Leinstrand;SN67150;09.10.2017;-;-;-;2;0
Leinstrand;SN67150;10.10.2017;-;-;-;0;0
Leinstrand;SN67150;11.10.2017;-;-;-;0;0
Leinstrand;SN67150;12.10.2017;-;-;-;0,5;0
Leinstrand;SN67150;13.10.2017;-;-;-;5,5;0
Leinstrand;SN67150;14.10.2017;-;-;-;2,7;0
Leinstrand;SN67150;15.10.2017;-;-;-;0,8;0
Leinstrand;SN67150;16.10.2017;-;-;-;1,5;0
Leinstrand;SN67150;17.10.2017;-;-;-;4;0
Leinstrand;SN67150;18.10.2017;-;-;-;2,5;0
Leinstrand;SN67150;19.10.2017;-;-;-;11,7;0
Leinstrand;SN67150;20.10.2017;-;-;-;0,2;0
Leinstrand;SN67150;21.10.2017;-;-;-;0;0
Leinstrand;SN67150;22.10.2017;-;-;-;0;0
Leinstrand;SN67150;23.10.2017;-;-;-;0;0
Leinstrand;SN67150;24.10.2017;-;-;-;0;0
Leinstrand;SN67150;25.10.2017;-;-;-;0;0
Leinstrand;SN67150;26.10.2017;-;-;-;10;0
Leinstrand;SN67150;27.10.2017;-;-;-;5,5;0
Leinstrand;SN67150;28.10.2017;-;-;-;14,2;0
Leinstrand;SN67150;29.10.2017;-;-;-;15,6;0
Leinstrand;SN67150;30.10.2017;-;-;-;12,3;2
Leinstrand;SN67150;31.10.2017;-;-;-;5,5;0
Leinstrand;SN67150;01.11.2017;-;-;-;1,3;0
Leinstrand;SN67150;02.11.2017;-;-;-;11;0
Leinstrand;SN67150;03.11.2017;-;-;-;0,8;0
Leinstrand;SN67150;04.11.2017;-;-;-;0;0
Leinstrand;SN67150;05.11.2017;-;-;-;0;0
Leinstrand;SN67150;06.11.2017;-;-;-;8,7;0
Leinstrand;SN67150;07.11.2017;-;-;-;3;0
Leinstrand;SN67150;08.11.2017;-;-;-;0,2;0
Leinstrand;SN67150;09.11.2017;-;-;-;0;0
Leinstrand;SN67150;10.11.2017;-;-;-;7,5;0
Leinstrand;SN67150;11.11.2017;-;-;-;0;0
Leinstrand;SN67150;12.11.2017;-;-;-;17,5;0
Leinstrand;SN67150;13.11.2017;-;-;-;11,9;0
Leinstrand;SN67150;14.11.2017;-;-;-;1,1;0
Leinstrand;SN67150;15.11.2017;-;-;-;5,9;0
Leinstrand;SN67150;16.11.2017;-;-;-;3;0
Leinstrand;SN67150;17.11.2017;-;-;-;0,8;0
Leinstrand;SN67150;18.11.2017;-;-;-;0,2;0
Leinstrand;SN67150;19.11.2017;-;-;-;0;0
