Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Skjetlein;SN67140;31.05.2017;5,9;8,7;3,8;0;-
Skjetlein;SN67140;01.06.2017;5,5;7,6;3,9;13,2;-
Skjetlein;SN67140;02.06.2017;9,2;15,7;1,1;4,6;-
Skjetlein;SN67140;03.06.2017;10,3;14;6,8;0;-
Skjetlein;SN67140;04.06.2017;10,7;14,9;7,1;0,2;-
Skjetlein;SN67140;05.06.2017;10,8;14,4;8,5;2,4;-
Skjetlein;SN67140;06.06.2017;13,8;21;5,6;0;-
Skjetlein;SN67140;07.06.2017;18,2;22,3;12,1;0;-
Skjetlein;SN67140;08.06.2017;16,4;19,9;11,7;0;-
Skjetlein;SN67140;09.06.2017;17;22;10,9;0;-
Skjetlein;SN67140;10.06.2017;13,5;18,7;9,9;0;-
Skjetlein;SN67140;14.06.2017;12,7;17,4;11,2;0,2;-
Skjetlein;SN67140;15.06.2017;15;21,1;8,2;0,4;-
Skjetlein;SN67140;16.06.2017;14;20,6;11,5;0;-
Skjetlein;SN67140;17.06.2017;12,5;16,5;9,5;4,2;-
Skjetlein;SN67140;18.06.2017;12,4;14,9;11,8;2;-
Skjetlein;SN67140;19.06.2017;11,3;14,5;9,6;0;-
Skjetlein;SN67140;20.06.2017;9,1;11,9;8,4;3;-
Skjetlein;SN67140;21.06.2017;9,2;12,2;7,8;1;-
Skjetlein;SN67140;22.06.2017;12;16;5,7;0,2;-
Skjetlein;SN67140;23.06.2017;14;18,7;10,2;2;-
Skjetlein;SN67140;24.06.2017;11,8;16;10,6;7;-
Skjetlein;SN67140;25.06.2017;12,1;16,8;6;0;-
Skjetlein;SN67140;26.06.2017;9,1;12,4;8,4;8;-
Skjetlein;SN67140;27.06.2017;8,9;12,4;6,6;12,2;-
Skjetlein;SN67140;28.06.2017;11,2;15,4;5,8;0;-
Skjetlein;SN67140;29.06.2017;15;22,3;5,6;0;-
Skjetlein;SN67140;30.06.2017;19,9;25,6;-;0;-
Skjetlein;SN67140;01.07.2017;16,3;24,9;12,2;0;-
Skjetlein;SN67140;02.07.2017;12,5;16,1;10,7;11,6;-
Skjetlein;SN67140;03.07.2017;11,5;14,5;10,1;0,8;-
Skjetlein;SN67140;04.07.2017;10,4;13,8;7,2;1,4;-
Skjetlein;SN67140;05.07.2017;10,2;13,3;8,3;3,8;-
Skjetlein;SN67140;06.07.2017;11;15,9;3,6;0;-
Skjetlein;SN67140;07.07.2017;13,3;20,2;5,9;0;-
Skjetlein;SN67140;08.07.2017;11,4;18,2;9,6;0;-
Skjetlein;SN67140;09.07.2017;12,9;19;8,8;13,2;-
Skjetlein;SN67140;10.07.2017;14,1;18,9;9,7;1,2;-
Skjetlein;SN67140;11.07.2017;12,2;15,5;10,7;2,4;-
Skjetlein;SN67140;12.07.2017;11;13,9;9,9;12,4;-
Skjetlein;SN67140;13.07.2017;10,2;12,6;9;10;-
Skjetlein;SN67140;20.07.2017;14,9;20,6;6,5;0;-
Skjetlein;SN67140;21.07.2017;17,9;26,1;9,7;0;-
Skjetlein;SN67140;22.07.2017;17,5;22,8;12,2;0;-
Skjetlein;SN67140;23.07.2017;17;23,3;11,2;0,2;-
Skjetlein;SN67140;24.07.2017;18,3;23,5;14,5;0;-
Skjetlein;SN67140;25.07.2017;16,2;23,2;10,6;0;-
Skjetlein;SN67140;26.07.2017;18;23,4;12,9;2;-
Skjetlein;SN67140;27.07.2017;19,5;24;14,4;0;-
Skjetlein;SN67140;28.07.2017;17,5;22,6;13,5;0;-
Skjetlein;SN67140;29.07.2017;16,4;21,3;12,5;0;-
Skjetlein;SN67140;30.07.2017;16,4;22;9,6;0;-
Skjetlein;SN67140;31.07.2017;16,2;23;11,9;0;-
Skjetlein;SN67140;01.08.2017;14,6;20,7;10,7;5,6;-
Skjetlein;SN67140;02.08.2017;13,5;18,8;10,1;3,8;-
Skjetlein;SN67140;03.08.2017;16,3;22,5;9,6;2,4;-
Skjetlein;SN67140;04.08.2017;15,4;22,1;12;0;-
Skjetlein;SN67140;05.08.2017;15,9;19,5;11,7;0;-
Skjetlein;SN67140;06.08.2017;16;21,8;11,8;0;-
Skjetlein;SN67140;07.08.2017;13,9;18,5;12,8;6,2;-
Skjetlein;SN67140;08.08.2017;14,2;17,5;11,2;6;-
Skjetlein;SN67140;09.08.2017;14,4;18,3;8,8;1,4;-
Skjetlein;SN67140;10.08.2017;14,3;18;12,9;3,8;-
Skjetlein;SN67140;11.08.2017;14,3;17,8;11,7;0,6;-
Skjetlein;SN67140;12.08.2017;11,9;17,3;11,4;1,4;-
Skjetlein;SN67140;13.08.2017;10,1;13,9;5,4;7,8;-
Skjetlein;SN67140;14.08.2017;12,1;16,9;9,4;0,2;-
Skjetlein;SN67140;15.08.2017;13,1;20,5;7;0,6;-
Skjetlein;SN67140;16.08.2017;13,4;17,8;11,4;5,2;-
Skjetlein;SN67140;17.08.2017;15,4;20,9;8,7;17;-
Skjetlein;SN67140;18.08.2017;16,2;19,1;12,9;0;-
Skjetlein;SN67140;19.08.2017;14,1;19,2;11;0;-
Skjetlein;SN67140;20.08.2017;12,2;13,1;11,7;27,8;-
Skjetlein;SN67140;21.08.2017;11;13,4;10,4;18,2;-
Skjetlein;SN67140;22.08.2017;10,2;14,1;8;0,8;-
Skjetlein;SN67140;23.08.2017;9,4;14,9;5,4;0,4;-
Skjetlein;SN67140;24.08.2017;10,5;16,3;8,6;1,8;-
Skjetlein;SN67140;25.08.2017;8,9;14,4;3,3;0,2;-
Skjetlein;SN67140;26.08.2017;9,8;12,9;7,5;1,2;-
Skjetlein;SN67140;27.08.2017;9,4;16,4;1,8;0,2;-
Skjetlein;SN67140;28.08.2017;12,7;19,1;6;0;-
Skjetlein;SN67140;29.08.2017;12,9;18,9;11,6;6,6;-
Skjetlein;SN67140;30.08.2017;12;18,4;5,4;10,2;-
Skjetlein;SN67140;31.08.2017;11,3;17,4;6,7;0;-
Skjetlein;SN67140;01.09.2017;10,7;14,9;8,7;0,4;-
Skjetlein;SN67140;02.09.2017;11,5;17,4;7;-;-
Skjetlein;SN67140;03.09.2017;12,2;21,1;3,5;0;-
Skjetlein;SN67140;04.09.2017;14,4;17,9;8,7;0;-
Skjetlein;SN67140;05.09.2017;15,2;17,6;13,2;0;-
Skjetlein;SN67140;06.09.2017;15,1;18,1;13,4;2,2;-
Skjetlein;SN67140;07.09.2017;13,3;16,3;11,5;0;-
Skjetlein;SN67140;08.09.2017;13,2;17,4;7,1;0;-
Skjetlein;SN67140;09.09.2017;13;16,1;9,6;0;-
Skjetlein;SN67140;10.09.2017;12,7;16,8;10,4;0,2;-
Skjetlein;SN67140;11.09.2017;14,1;19,6;7,1;0,2;-
Skjetlein;SN67140;12.09.2017;14,4;19,1;8;0;-
Skjetlein;SN67140;13.09.2017;11,9;16,7;10,2;10,2;-
Skjetlein;SN67140;14.09.2017;11,3;15,8;9,2;3,6;-
Skjetlein;SN67140;15.09.2017;10,9;15;7,4;0,6;-
Skjetlein;SN67140;16.09.2017;10,1;13,1;9,2;2,2;-
Skjetlein;SN67140;17.09.2017;9,4;12,3;7,4;0,6;-
Skjetlein;SN67140;18.09.2017;10;13,1;8,3;3,8;-
Skjetlein;SN67140;19.09.2017;10,5;13,5;8,9;1,4;-
Skjetlein;SN67140;20.09.2017;10;13,8;6,6;0;-
Skjetlein;SN67140;21.09.2017;11,6;15;6,9;0;-
Skjetlein;SN67140;22.09.2017;12,7;17,2;8,3;0;-
Skjetlein;SN67140;23.09.2017;11,6;17,1;6,3;0;-
Skjetlein;SN67140;24.09.2017;15,1;19,7;8,6;0;-
Skjetlein;SN67140;25.09.2017;15,9;21,5;10,7;0;-
Skjetlein;SN67140;26.09.2017;14,9;19,8;8,3;0;-
Skjetlein;SN67140;27.09.2017;13,8;18,7;7;0;-
Skjetlein;SN67140;28.09.2017;14;16;12,8;0;-
Skjetlein;SN67140;29.09.2017;13,7;16,6;10,2;0;-
Skjetlein;SN67140;30.09.2017;13,2;14,6;11,2;0;-
Skjetlein;SN67140;01.10.2017;12,9;14,5;10,7;0;-
Skjetlein;SN67140;02.10.2017;13,6;15;12,8;2,6;-
Skjetlein;SN67140;03.10.2017;12;17,6;7,7;0;-
Skjetlein;SN67140;04.10.2017;8,7;11;7,5;4;-
Skjetlein;SN67140;05.10.2017;8,3;11,1;5,2;2,2;-
Skjetlein;SN67140;06.10.2017;7,5;9,2;5,6;7,2;-
Skjetlein;SN67140;07.10.2017;4,3;6,6;2,4;18;-
Skjetlein;SN67140;08.10.2017;6,2;9,2;1,8;10,6;-
Skjetlein;SN67140;09.10.2017;6,1;9,6;3,6;3,4;-
Skjetlein;SN67140;10.10.2017;6,9;10,5;1;0;-
Skjetlein;SN67140;11.10.2017;5,6;10,3;0,4;0;-
Skjetlein;SN67140;12.10.2017;5,8;8;5,3;0,8;-
Skjetlein;SN67140;13.10.2017;7,3;10,3;2,5;5,4;-
Skjetlein;SN67140;14.10.2017;8,5;12,8;5,3;4,2;-
Skjetlein;SN67140;15.10.2017;8,9;9,6;5,7;1,2;-
Skjetlein;SN67140;16.10.2017;8,2;14,9;6;1,8;-
Skjetlein;SN67140;17.10.2017;5,4;8,1;3;5,4;-
Skjetlein;SN67140;18.10.2017;6,5;8,9;3,7;4,6;-
Skjetlein;SN67140;19.10.2017;3,1;9,2;0,6;11,4;-
Skjetlein;SN67140;20.10.2017;6,3;11,3;-1,9;0,2;-
Skjetlein;SN67140;21.10.2017;9;11,2;6;0,2;-
Skjetlein;SN67140;22.10.2017;7,1;12;2,8;0;-
Skjetlein;SN67140;23.10.2017;5,7;7,6;3,3;0;-
Skjetlein;SN67140;24.10.2017;6,3;8,1;4,4;0;-
Skjetlein;SN67140;25.10.2017;6,4;9,1;5,1;0;-
Skjetlein;SN67140;26.10.2017;5,9;7,6;4,9;11,4;-
Skjetlein;SN67140;27.10.2017;6,7;8,3;5,4;8,8;-
Skjetlein;SN67140;28.10.2017;4,4;7,3;1,7;16,8;-
Skjetlein;SN67140;29.10.2017;2,5;4,3;1,2;19,4;-
Skjetlein;SN67140;30.10.2017;1,1;3,2;-0,3;6,4;-
Skjetlein;SN67140;31.10.2017;5,9;7,6;1,3;14,6;-
Skjetlein;SN67140;01.11.2017;6,7;8,1;5,9;2,8;-
Skjetlein;SN67140;02.11.2017;4,2;8,1;2,7;13,2;-
Skjetlein;SN67140;03.11.2017;4;6,7;1,6;1;-
Skjetlein;SN67140;04.11.2017;3,1;7,3;1,3;0;-
Skjetlein;SN67140;05.11.2017;2,8;3,8;1,2;0,2;-
Skjetlein;SN67140;06.11.2017;2,4;4,9;1,1;11,8;-
Skjetlein;SN67140;07.11.2017;2,4;4,9;0,2;3,8;-
Skjetlein;SN67140;08.11.2017;3,1;3,7;0,3;1;-
