Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (døgn);Maksimumstemperatur (døgn);Minimumstemperatur (døgn);Snødybde;Nedbør (døgn)
E39 Øysand;SN67153;20.08.2017;14,2;-;-;-;-
E39 Øysand;SN67153;21.08.2017;13,2;-;-;-;-
E39 Øysand;SN67153;22.08.2017;12,3;-;-;-;-
E39 Øysand;SN67153;23.08.2017;11,3;-;-;-;-
E39 Øysand;SN67153;24.08.2017;12,4;-;-;-;-
E39 Øysand;SN67153;25.08.2017;11,1;-;-;-;-
E39 Øysand;SN67153;26.08.2017;11,6;-;-;-;-
E39 Øysand;SN67153;27.08.2017;10,8;-;-;-;-
E39 Øysand;SN67153;28.08.2017;14,2;-;-;-;-
E39 Øysand;SN67153;29.08.2017;14,8;-;-;-;-
E39 Øysand;SN67153;30.08.2017;13,5;-;-;-;-
E39 Øysand;SN67153;31.08.2017;12,5;-;-;-;-
E39 Øysand;SN67153;01.09.2017;12,4;-;-;-;-
E39 Øysand;SN67153;03.09.2017;13,3;-;-;-;-
E39 Øysand;SN67153;04.09.2017;16,2;-;-;-;-
E39 Øysand;SN67153;05.09.2017;17,2;-;-;-;-
E39 Øysand;SN67153;06.09.2017;17,1;-;-;-;-
E39 Øysand;SN67153;07.09.2017;15;-;-;-;-
E39 Øysand;SN67153;08.09.2017;14,5;-;-;-;-
E39 Øysand;SN67153;09.09.2017;14,6;-;-;-;-
E39 Øysand;SN67153;10.09.2017;13,9;-;-;-;-
E39 Øysand;SN67153;11.09.2017;15,6;-;-;-;-
E39 Øysand;SN67153;12.09.2017;16,6;-;-;-;-
E39 Øysand;SN67153;13.09.2017;13,9;-;-;-;-
E39 Øysand;SN67153;14.09.2017;13,4;-;-;-;-
E39 Øysand;SN67153;15.09.2017;13;-;-;-;-
E39 Øysand;SN67153;16.09.2017;12,3;-;-;-;-
E39 Øysand;SN67153;17.09.2017;11,5;-;-;-;-
E39 Øysand;SN67153;18.09.2017;12;-;-;-;-
E39 Øysand;SN67153;21.09.2017;13,6;-;-;-;-
E39 Øysand;SN67153;22.09.2017;15,3;-;-;-;-
E39 Øysand;SN67153;23.09.2017;12,6;-;-;-;-
E39 Øysand;SN67153;24.09.2017;17;-;-;-;-
E39 Øysand;SN67153;25.09.2017;16,7;-;-;-;-
E39 Øysand;SN67153;26.09.2017;17,2;-;-;-;-
E39 Øysand;SN67153;27.09.2017;16,4;-;-;-;-
E39 Øysand;SN67153;28.09.2017;16;-;-;-;-
E39 Øysand;SN67153;29.09.2017;15,4;-;-;-;-
E39 Øysand;SN67153;30.09.2017;15,3;-;-;-;-
E39 Øysand;SN67153;01.10.2017;14,9;-;-;-;-
E39 Øysand;SN67153;02.10.2017;15,8;-;-;-;-
E39 Øysand;SN67153;03.10.2017;14;-;-;-;-
E39 Øysand;SN67153;05.10.2017;10,7;-;-;-;-
E39 Øysand;SN67153;06.10.2017;9,7;-;-;-;-
E39 Øysand;SN67153;07.10.2017;6,1;-;-;-;-
E39 Øysand;SN67153;08.10.2017;7,8;-;-;-;-
E39 Øysand;SN67153;09.10.2017;7,2;-;-;-;-
E39 Øysand;SN67153;10.10.2017;7,7;-;-;-;-
E39 Øysand;SN67153;11.10.2017;7,5;-;-;-;-
E39 Øysand;SN67153;12.10.2017;7,4;-;-;-;-
E39 Øysand;SN67153;13.10.2017;8,9;-;-;-;-
E39 Øysand;SN67153;15.10.2017;10,7;-;-;-;-
E39 Øysand;SN67153;16.10.2017;10,1;-;-;-;-
E39 Øysand;SN67153;25.10.2017;8,5;-;-;-;-
E39 Øysand;SN67153;26.10.2017;8;-;-;-;-
E39 Øysand;SN67153;27.10.2017;9,1;-;-;-;-
E39 Øysand;SN67153;28.10.2017;6,4;-;-;-;-
E39 Øysand;SN67153;29.10.2017;4,6;-;-;-;-
E39 Øysand;SN67153;30.10.2017;3,5;-;-;-;-
E39 Øysand;SN67153;31.10.2017;8,5;-;-;-;-
E39 Øysand;SN67153;03.11.2017;6,1;-;-;-;-
E39 Øysand;SN67153;04.11.2017;4,6;-;-;-;-
E39 Øysand;SN67153;05.11.2017;4,5;-;-;-;-
E39 Øysand;SN67153;06.11.2017;4,6;-;-;-;-
E39 Øysand;SN67153;07.11.2017;3,6;-;-;-;-
E39 Øysand;SN67153;08.11.2017;4,3;-;-;-;-
E39 Øysand;SN67153;09.11.2017;8,7;-;-;-;-
E39 Øysand;SN67153;10.11.2017;3;-;-;-;-
E39 Øysand;SN67153;11.11.2017;3,8;-;-;-;-
E39 Øysand;SN67153;12.11.2017;4,5;-;-;-;-
E39 Øysand;SN67153;13.11.2017;3,3;-;-;-;-
E39 Øysand;SN67153;14.11.2017;2,8;-;-;-;-
E39 Øysand;SN67153;15.11.2017;5,1;-;-;-;-
E39 Øysand;SN67153;16.11.2017;4,4;-;-;-;-
E39 Øysand;SN67153;17.11.2017;3,7;-;-;-;-
E39 Øysand;SN67153;18.11.2017;-0,3;-;-;-;-
E39 Øysand;SN67153;19.11.2017;-3,1;-;-;-;-
E39 Øysand;SN67153;20.11.2017;-3,1;-;-;-;-
E39 Øysand;SN67153;21.11.2017;-8,5;-;-;-;-
E39 Øysand;SN67153;22.11.2017;-1,5;-;-;-;-
E39 Øysand;SN67153;23.11.2017;8,4;-;-;-;-
E39 Øysand;SN67153;24.11.2017;6,3;-;-;-;-
E39 Øysand;SN67153;25.11.2017;4,5;-;-;-;-
E39 Øysand;SN67153;26.11.2017;-1,1;-;-;-;-
E39 Øysand;SN67153;27.11.2017;-6,3;-;-;-;-
E39 Øysand;SN67153;30.11.2017;-4,3;-;-;-;-
E39 Øysand;SN67153;01.12.2017;-3,2;-;-;-;-
E39 Øysand;SN67153;02.12.2017;6,6;-;-;-;-
E39 Øysand;SN67153;03.12.2017;4,3;-;-;-;-
E39 Øysand;SN67153;04.12.2017;3;-;-;-;-
E39 Øysand;SN67153;05.12.2017;2;-;-;-;-
E39 Øysand;SN67153;06.12.2017;-1,6;-;-;-;-
E39 Øysand;SN67153;07.12.2017;5,5;-;-;-;-
E39 Øysand;SN67153;08.12.2017;4,4;-;-;-;-
E39 Øysand;SN67153;09.12.2017;3,3;-;-;-;-
E39 Øysand;SN67153;10.12.2017;-1,5;-;-;-;-
E39 Øysand;SN67153;11.12.2017;-4;-;-;-;-
E39 Øysand;SN67153;12.12.2017;-4,3;-;-;-;-
E39 Øysand;SN67153;13.12.2017;-3,1;-;-;-;-
E39 Øysand;SN67153;14.12.2017;-9,4;-;-;-;-
E39 Øysand;SN67153;15.12.2017;-8,3;-;-;-;-
E39 Øysand;SN67153;16.12.2017;-2,9;-;-;-;-
E39 Øysand;SN67153;17.12.2017;1,7;-;-;-;-
E39 Øysand;SN67153;18.12.2017;3,5;-;-;-;-
E39 Øysand;SN67153;19.12.2017;4;-;-;-;-
E39 Øysand;SN67153;20.12.2017;4;-;-;-;-
E39 Øysand;SN67153;21.12.2017;4,8;-;-;-;-
E39 Øysand;SN67153;22.12.2017;3,4;-;-;-;-
E39 Øysand;SN67153;23.12.2017;5,2;-;-;-;-
E39 Øysand;SN67153;24.12.2017;1,7;-;-;-;-
E39 Øysand;SN67153;25.12.2017;1,4;-;-;-;-
E39 Øysand;SN67153;26.12.2017;-1,6;-;-;-;-
E39 Øysand;SN67153;27.12.2017;-2,8;-;-;-;-
E39 Øysand;SN67153;28.12.2017;-6,6;-;-;-;-
E39 Øysand;SN67153;29.12.2017;-6;-;-;-;-
E39 Øysand;SN67153;30.12.2017;-4,3;-;-;-;-
E39 Øysand;SN67153;31.12.2017;-4,7;-;-;-;-
E39 Øysand;SN67153;01.01.2018;1,4;-;-;-;-
E39 Øysand;SN67153;02.01.2018;0,6;-;-;-;-
E39 Øysand;SN67153;03.01.2018;-5,7;-;-;-;-
E39 Øysand;SN67153;04.01.2018;0,9;-;-;-;-
E39 Øysand;SN67153;05.01.2018;-3;-;-;-;-
E39 Øysand;SN67153;06.01.2018;-3,4;-;-;-;-
E39 Øysand;SN67153;07.01.2018;1;-;-;-;-
E39 Øysand;SN67153;08.01.2018;1,9;-;-;-;-
E39 Øysand;SN67153;09.01.2018;-8,3;-;-;-;-
E39 Øysand;SN67153;10.01.2018;1,6;-;-;-;-
E39 Øysand;SN67153;11.01.2018;4,9;-;-;-;-
E39 Øysand;SN67153;12.01.2018;-1,1;-;-;-;-
E39 Øysand;SN67153;13.01.2018;-4,9;-;-;-;-
E39 Øysand;SN67153;14.01.2018;0;-;-;-;-
E39 Øysand;SN67153;15.01.2018;2,5;-;-;-;-
E39 Øysand;SN67153;16.01.2018;2,9;-;-;-;-
E39 Øysand;SN67153;17.01.2018;1,5;-;-;-;-
E39 Øysand;SN67153;18.01.2018;-1,7;-;-;-;-
E39 Øysand;SN67153;19.01.2018;-7,5;-;-;-;-
E39 Øysand;SN67153;20.01.2018;-8,5;-;-;-;-
E39 Øysand;SN67153;21.01.2018;-7,9;-;-;-;-
E39 Øysand;SN67153;22.01.2018;-13,2;-;-;-;-
E39 Øysand;SN67153;23.01.2018;-3,8;-;-;-;-
E39 Øysand;SN67153;24.01.2018;5,4;-;-;-;-
E39 Øysand;SN67153;25.01.2018;4,9;-;-;-;-
E39 Øysand;SN67153;26.01.2018;3,3;-;-;-;-
E39 Øysand;SN67153;27.01.2018;1,7;-;-;-;-
E39 Øysand;SN67153;28.01.2018;3;-;-;-;-
E39 Øysand;SN67153;29.01.2018;2;-;-;-;-
E39 Øysand;SN67153;30.01.2018;0,5;-;-;-;-
E39 Øysand;SN67153;31.01.2018;4,4;-;-;-;-
E39 Øysand;SN67153;01.02.2018;1,1;-;-;-;-
E39 Øysand;SN67153;02.02.2018;-9,9;-;-;-;-
E39 Øysand;SN67153;03.02.2018;-8,6;-;-;-;-
E39 Øysand;SN67153;04.02.2018;-5,6;-;-;-;-
E39 Øysand;SN67153;05.02.2018;-1;-;-;-;-
E39 Øysand;SN67153;06.02.2018;-1,9;-;-;-;-
E39 Øysand;SN67153;07.02.2018;-0,4;-;-;-;-
E39 Øysand;SN67153;08.02.2018;0,8;-;-;-;-
E39 Øysand;SN67153;09.02.2018;5,5;-;-;-;-
E39 Øysand;SN67153;10.02.2018;3,3;-;-;-;-
E39 Øysand;SN67153;11.02.2018;2,4;-;-;-;-
E39 Øysand;SN67153;12.02.2018;0,8;-;-;-;-
E39 Øysand;SN67153;13.02.2018;-3,3;-;-;-;-
E39 Øysand;SN67153;14.02.2018;4,1;-;-;-;-
E39 Øysand;SN67153;15.02.2018;3,7;-;-;-;-
E39 Øysand;SN67153;16.02.2018;2,2;-;-;-;-
E39 Øysand;SN67153;17.02.2018;-3,1;-;-;-;-
E39 Øysand;SN67153;18.02.2018;-7,9;-;-;-;-
E39 Øysand;SN67153;19.02.2018;-9,2;-;-;-;-
E39 Øysand;SN67153;20.02.2018;-7,1;-;-;-;-
E39 Øysand;SN67153;21.02.2018;-1,3;-;-;-;-
E39 Øysand;SN67153;22.02.2018;1,2;-;-;-;-
E39 Øysand;SN67153;23.02.2018;0,6;-;-;-;-
E39 Øysand;SN67153;24.02.2018;-2,8;-;-;-;-
E39 Øysand;SN67153;25.02.2018;-3,7;-;-;-;-
E39 Øysand;SN67153;26.02.2018;-10,2;-;-;-;-
E39 Øysand;SN67153;27.02.2018;-12,4;-;-;-;-
E39 Øysand;SN67153;28.02.2018;-12,7;-;-;-;-
E39 Øysand;SN67153;01.03.2018;-14;-;-;-;-
E39 Øysand;SN67153;02.03.2018;-8,7;-;-;-;-
E39 Øysand;SN67153;04.03.2018;-3,7;-;-;-;-
E39 Øysand;SN67153;05.03.2018;-4,5;-;-;-;-
E39 Øysand;SN67153;06.03.2018;-7;-;-;-;-
E39 Øysand;SN67153;07.03.2018;-8,5;-;-;-;-
E39 Øysand;SN67153;08.03.2018;-3,7;-;-;-;-
E39 Øysand;SN67153;09.03.2018;-0,4;-;-;-;-
E39 Øysand;SN67153;11.03.2018;-0,3;-;-;-;-
E39 Øysand;SN67153;12.03.2018;0,8;-;-;-;-
E39 Øysand;SN67153;13.03.2018;0,1;-;-;-;-
E39 Øysand;SN67153;14.03.2018;-1,5;-;-;-;-
E39 Øysand;SN67153;15.03.2018;-5,5;-;-;-;-
E39 Øysand;SN67153;16.03.2018;-4,3;-;-;-;-
E39 Øysand;SN67153;18.03.2018;2,2;-;-;-;-
E39 Øysand;SN67153;19.03.2018;2,4;-;-;-;-
E39 Øysand;SN67153;20.03.2018;2,5;-;-;-;-
E39 Øysand;SN67153;21.03.2018;4,1;-;-;-;-
E39 Øysand;SN67153;22.03.2018;4,1;-;-;-;-
E39 Øysand;SN67153;23.03.2018;5,3;-;-;-;-
E39 Øysand;SN67153;24.03.2018;7,2;-;-;-;-
E39 Øysand;SN67153;26.03.2018;-2;-;-;-;-
E39 Øysand;SN67153;27.03.2018;-3,3;-;-;-;-
E39 Øysand;SN67153;28.03.2018;-2,6;-;-;-;-
E39 Øysand;SN67153;29.03.2018;-1,9;-;-;-;-
E39 Øysand;SN67153;30.03.2018;-2,9;-;-;-;-
E39 Øysand;SN67153;31.03.2018;-1,6;-;-;-;-
E39 Øysand;SN67153;01.04.2018;-0,5;-;-;-;-
E39 Øysand;SN67153;02.04.2018;-0,4;-;-;-;-
E39 Øysand;SN67153;03.04.2018;1,1;-;-;-;-
E39 Øysand;SN67153;04.04.2018;3,9;-;-;-;-
E39 Øysand;SN67153;05.04.2018;1,8;-;-;-;-
E39 Øysand;SN67153;06.04.2018;3,8;-;-;-;-
E39 Øysand;SN67153;08.04.2018;4,3;-;-;-;-
E39 Øysand;SN67153;09.04.2018;4;-;-;-;-
E39 Øysand;SN67153;10.04.2018;6,1;-;-;-;-
E39 Øysand;SN67153;11.04.2018;5,6;-;-;-;-
E39 Øysand;SN67153;12.04.2018;9,2;-;-;-;-
E39 Øysand;SN67153;13.04.2018;11,6;-;-;-;-
E39 Øysand;SN67153;14.04.2018;8,4;-;-;-;-
E39 Øysand;SN67153;15.04.2018;8,5;-;-;-;-
E39 Øysand;SN67153;16.04.2018;8,7;-;-;-;-
E39 Øysand;SN67153;17.04.2018;9;-;-;-;-
E39 Øysand;SN67153;18.04.2018;9;-;-;-;-
E39 Øysand;SN67153;19.04.2018;9,5;-;-;-;-
E39 Øysand;SN67153;20.04.2018;9,5;-;-;-;-
E39 Øysand;SN67153;21.04.2018;8,1;-;-;-;-
